trial_id,sample_date,sample_time,station_code,flows,mark_recap_id,mark_code,fork_length,count,dead
19,1999-06-12,09:44:00,gate 1,10223,{00000050-0000-0000-0000000000000000},B,62,1,FALSE
19,1999-06-12,09:44:00,gate 1,10223,{00000050-0000-0000-0000000000000000},B,62,1,FALSE
20,1999-06-17,09:02:00,gate 1,10744,{00000050-0000-0000-0000000000000000},B,66,1,FALSE
20,1999-06-17,09:02:00,gate 1,10744,{00000050-0000-0000-0000000000000000},B,66,1,FALSE
21,1999-06-19,08:57:00,gate 1,11256,{00000050-0000-0000-0000000000000000},B,89,1,FALSE
21,1999-06-19,08:57:00,gate 1,11256,{00000050-0000-0000-0000000000000000},B,89,1,FALSE
23,1999-06-26,08:34:00,gate 1,12301,{00000050-0000-0000-0000000000000000},B,91,1,FALSE
23,1999-06-26,08:34:00,gate 1,12301,{00000050-0000-0000-0000000000000000},B,91,1,FALSE
23,1999-06-28,09:21:00,gate 1,12891,{00000050-0000-0000-0000000000000000},B,96,1,FALSE
23,1999-06-28,09:21:00,gate 1,12891,{00000050-0000-0000-0000000000000000},B,96,1,FALSE
25,1999-07-05,09:21:00,gate 1,11994,{00000026-0000-0000-0000000000000000},B,73,1,FALSE
25,1999-07-05,09:21:00,gate 1,11994,{00000026-0000-0000-0000000000000000},B,73,1,FALSE
26,1999-07-16,09:00:00,gate 1,12352,{00000026-0000-0000-0000000000000000},B,83,1,FALSE
26,1999-07-16,09:00:00,gate 1,12352,{00000026-0000-0000-0000000000000000},B,83,1,FALSE
27,1999-07-22,08:51:00,gate 1,12385,{00000026-0000-0000-0000000000000000},B,84,1,FALSE
27,1999-07-22,08:51:00,gate 1,12385,{00000026-0000-0000-0000000000000000},B,84,1,FALSE
28,1999-07-26,08:50:00,gate 1,12184,{00000026-0000-0000-0000000000000000},B,85,1,FALSE
28,1999-07-26,08:50:00,gate 1,12184,{00000026-0000-0000-0000000000000000},B,85,1,FALSE
29,1999-07-31,09:19:00,gate 1,11886,{00000082-0000-0000-0000000000000000},B,36,1,FALSE
29,1999-07-31,09:19:00,gate 1,11886,{00000082-0000-0000-0000000000000000},B,36,1,FALSE
29,1999-08-01,09:06:00,gate 1,12038,{00000005-0000-0000-0000000000000000},B,84,1,FALSE
29,1999-08-01,09:06:00,gate 1,12038,{00000005-0000-0000-0000000000000000},B,84,1,FALSE
30,1999-08-04,08:50:00,gate 1,11514,{00000038-0000-0000-0000000000000000},BSDG,59,1,FALSE
30,1999-08-04,08:50:00,gate 1,11514,{00000038-0000-0000-0000000000000000},BSDG,59,1,FALSE
31,1999-08-07,08:05:00,gate 1,9717,{00000022-0000-0000-0000000000000000},B,67,1,FALSE
31,1999-08-07,08:05:00,gate 1,9717,{00000022-0000-0000-0000000000000000},B,67,1,FALSE
32,1999-08-12,09:23:00,gate 1,9174,{00000022-0000-0000-0000000000000000},B,90,1,FALSE
32,1999-08-12,09:23:00,gate 1,9174,{00000022-0000-0000-0000000000000000},B,90,1,FALSE
32,1999-08-12,09:23:00,gate 1,9174,{00000022-0000-0000-0000000000000000},B,93,1,FALSE
32,1999-08-12,09:23:00,gate 1,9174,{00000022-0000-0000-0000000000000000},B,93,1,FALSE
33,1999-08-17,09:33:00,gate 1,8341,{00000053-0000-0000-0000000000000000},B,89,1,FALSE
33,1999-08-17,09:33:00,gate 1,8341,{00000053-0000-0000-0000000000000000},B,89,1,FALSE
203,1998-03-31,13:05:00,gate 10,36293,{00000053-0000-0000-0000000000000000},B,91,1,FALSE
203,1998-03-31,13:05:00,gate 10,36293,{00000053-0000-0000-0000000000000000},B,91,1,FALSE
204,1998-04-14,19:44:00,gate 10,14612,{000000B1-0000-0000-0000000000000000},B,78,1,FALSE
204,1998-04-14,19:44:00,gate 10,14612,{000000B1-0000-0000-0000000000000000},B,78,1,FALSE
205,1998-04-21,09:01:00,gate 10,14946,{000000AE-0000-0000-0000000000000000},B,72,1,FALSE
205,1998-04-21,09:01:00,gate 10,14946,{000000AE-0000-0000-0000000000000000},B,72,1,FALSE
205,1998-04-22,09:16:00,gate 10,14944,{000000AA-0000-0000-0000000000000000},B,60,1,FALSE
205,1998-04-22,09:16:00,gate 10,14944,{000000AA-0000-0000-0000000000000000},B,60,1,FALSE
206,1998-04-28,08:53:00,gate 10,14216,{000000AA-0000-0000-0000000000000000},B,70,1,FALSE
206,1998-04-28,08:53:00,gate 10,14216,{000000AA-0000-0000-0000000000000000},B,70,1,FALSE
18,1999-06-09,06:19:00,gate 10,10683,{000000AA-0000-0000-0000000000000000},B,77,1,FALSE
18,1999-06-09,06:19:00,gate 10,10683,{000000AA-0000-0000-0000000000000000},B,77,1,FALSE
20,1999-06-17,08:46:00,gate 10,10744,{000000AA-0000-0000-0000000000000000},B,82,1,FALSE
20,1999-06-17,08:46:00,gate 10,10744,{000000AA-0000-0000-0000000000000000},B,82,1,FALSE
20,1999-06-18,08:48:00,gate 10,10805,{000000AA-0000-0000-0000000000000000},B,87,1,FALSE
20,1999-06-18,08:48:00,gate 10,10805,{000000AA-0000-0000-0000000000000000},B,87,1,FALSE
21,1999-06-19,08:46:00,gate 10,11256,{00000097-0000-0000-0000000000000000},BSDG,53,1,FALSE
21,1999-06-19,08:46:00,gate 10,11256,{00000097-0000-0000-0000000000000000},BSDG,53,1,FALSE
21,1999-06-20,08:28:00,gate 10,11397,{00000097-0000-0000-0000000000000000},BSDG,54,1,FALSE
21,1999-06-20,08:28:00,gate 10,11397,{00000097-0000-0000-0000000000000000},BSDG,54,1,FALSE
22,1999-06-23,06:00:00,gate 10,11676,{00000098-0000-0000-0000000000000000},BSDO,51,1,FALSE
22,1999-06-23,06:00:00,gate 10,11676,{00000098-0000-0000-0000000000000000},BSDO,51,1,FALSE
22,1999-06-23,20:30:00,gate 10,11676,{00000098-0000-0000-0000000000000000},BSDO,53,3,FALSE
22,1999-06-23,20:30:00,gate 10,11676,{00000098-0000-0000-0000000000000000},BSDO,53,3,FALSE
23,1999-06-26,08:20:00,gate 10,12301,{00000098-0000-0000-0000000000000000},BSDO,55,2,FALSE
23,1999-06-26,08:20:00,gate 10,12301,{00000098-0000-0000-0000000000000000},BSDO,55,2,FALSE
23,1999-06-27,08:28:00,gate 10,12312,{00000098-0000-0000-0000000000000000},BSDO,56,1,FALSE
23,1999-06-27,08:28:00,gate 10,12312,{00000098-0000-0000-0000000000000000},BSDO,56,1,FALSE
24,1999-06-30,05:56:00,gate 10,12922,{00000098-0000-0000-0000000000000000},BSDO,58,2,FALSE
24,1999-06-30,05:56:00,gate 10,12922,{00000098-0000-0000-0000000000000000},BSDO,58,2,FALSE
24,1999-07-02,08:43:00,gate 10,12068,{00000098-0000-0000-0000000000000000},BSDO,60,2,FALSE
24,1999-07-02,08:43:00,gate 10,12068,{00000098-0000-0000-0000000000000000},BSDO,60,2,FALSE
25,1999-07-05,08:58:00,gate 10,11994,{00000100-0000-0000-0000000000000000},BSDO,58,1,FALSE
25,1999-07-05,08:58:00,gate 10,11994,{00000100-0000-0000-0000000000000000},BSDO,58,1,FALSE
26,1999-07-16,08:43:00,gate 10,12352,{000000FC-0000-0000-0000000000000000},BSDG,54,1,FALSE
26,1999-07-16,08:43:00,gate 10,12352,{000000FC-0000-0000-0000000000000000},BSDG,54,1,FALSE
27,1999-07-22,08:40:00,gate 10,12385,{000000FC-0000-0000-0000000000000000},BSDG,55,1,FALSE
27,1999-07-22,08:40:00,gate 10,12385,{000000FC-0000-0000-0000000000000000},BSDG,55,1,FALSE
27,1999-07-24,08:49:00,gate 10,13094,{000000FC-0000-0000-0000000000000000},BSDG,57,1,FALSE
27,1999-07-24,08:49:00,gate 10,13094,{000000FC-0000-0000-0000000000000000},BSDG,57,1,FALSE
28,1999-07-26,08:33:00,gate 10,12184,{000000FC-0000-0000-0000000000000000},BSDG,58,1,FALSE
28,1999-07-26,08:33:00,gate 10,12184,{000000FC-0000-0000-0000000000000000},BSDG,58,1,FALSE
28,1999-07-27,08:53:00,gate 10,11838,{000000FD-0000-0000-0000000000000000},BSDO,50,1,FALSE
28,1999-07-27,08:53:00,gate 10,11838,{000000FD-0000-0000-0000000000000000},BSDO,50,1,FALSE
29,1999-07-31,09:05:00,gate 10,11886,{000000FD-0000-0000-0000000000000000},BSDO,52,1,FALSE
29,1999-07-31,09:05:00,gate 10,11886,{000000FD-0000-0000-0000000000000000},BSDO,52,1,FALSE
30,1999-08-04,08:43:00,gate 10,11514,{000000FD-0000-0000-0000000000000000},BSDO,56,3,FALSE
30,1999-08-04,08:43:00,gate 10,11514,{000000FD-0000-0000-0000000000000000},BSDO,56,3,FALSE
31,1999-08-07,07:45:00,gate 10,9717,{000000FD-0000-0000-0000000000000000},BSDO,57,1,FALSE
31,1999-08-07,07:45:00,gate 10,9717,{000000FD-0000-0000-0000000000000000},BSDO,57,1,FALSE
31,1999-08-08,08:37:00,gate 10,9631,{000000FD-0000-0000-0000000000000000},BSDO,58,1,FALSE
31,1999-08-08,08:37:00,gate 10,9631,{000000FD-0000-0000-0000000000000000},BSDO,58,1,FALSE
32,1999-08-12,09:09:00,gate 10,9174,{000000FD-0000-0000-0000000000000000},BSDO,60,1,FALSE
32,1999-08-12,09:09:00,gate 10,9174,{000000FD-0000-0000-0000000000000000},BSDO,60,1,FALSE
216,2000-03-25,08:54:00,gate 10,11705,{0000001D-0000-0000-0000000000000000},B,63,1,FALSE
216,2000-03-25,08:54:00,gate 10,11705,{0000001D-0000-0000-0000000000000000},B,63,1,FALSE
216,2000-03-27,18:45:00,gate 10,10456,{0000001D-0000-0000-0000000000000000},B,67,1,FALSE
216,2000-03-27,18:45:00,gate 10,10456,{0000001D-0000-0000-0000000000000000},B,67,1,FALSE
218,2000-03-28,18:36:00,gate 10,9997,{0000001D-0000-0000-0000000000000000},B,71,1,FALSE
218,2000-03-28,18:36:00,gate 10,9997,{0000001D-0000-0000-0000000000000000},B,71,1,FALSE
218,2000-03-29,06:45:00,gate 10,10054,{0000001D-0000-0000-0000000000000000},B,79,1,FALSE
218,2000-03-29,06:45:00,gate 10,10054,{0000001D-0000-0000-0000000000000000},B,79,1,FALSE
219,2000-03-29,06:45:00,gate 10,10054,{0000001D-0000-0000-0000000000000000},B,90,1,FALSE
219,2000-03-29,06:45:00,gate 10,10054,{0000001D-0000-0000-0000000000000000},B,90,1,FALSE
218,2000-03-30,05:59:00,gate 10,9801,{0000001D-0000-0000-0000000000000000},B,92,1,FALSE
218,2000-03-30,05:59:00,gate 10,9801,{0000001D-0000-0000-0000000000000000},B,92,1,FALSE
201,1998-03-10,09:05:00,gate 11,22039,{000000A9-0000-0000-0000000000000000},B,71,1,FALSE
201,1998-03-10,09:05:00,gate 11,22039,{000000A9-0000-0000-0000000000000000},B,71,1,FALSE
202,1998-03-17,06:32:00,gate 11,14274,{00000004-0000-0000-0000000000000000},B,84,1,FALSE
202,1998-03-17,06:32:00,gate 11,14274,{00000004-0000-0000-0000000000000000},B,84,1,FALSE
207,1998-05-06,09:04:00,gate 11,15958,{00000128-0000-0000-0000000000000000},BSDO,52,1,FALSE
207,1998-05-06,09:04:00,gate 11,15958,{00000128-0000-0000-0000000000000000},BSDO,52,1,FALSE
301,1998-05-08,08:58:00,gate 11,14514,{00000128-0000-0000-0000000000000000},BSDO,54,2,FALSE
301,1998-05-08,08:58:00,gate 11,14514,{00000128-0000-0000-0000000000000000},BSDO,54,2,FALSE
5,1998-12-17,08:26:00,gate 11,17500,{00000128-0000-0000-0000000000000000},BSDO,56,1,FALSE
5,1998-12-17,08:26:00,gate 11,17500,{00000128-0000-0000-0000000000000000},BSDO,56,1,FALSE
6,1998-12-21,09:00:00,gate 11,12978,{00000128-0000-0000-0000000000000000},BSDO,57,3,FALSE
