mark_sample_row_id,trial_id,traps_fished,mark_code,mark_date,mark_time,release_site,release_date,release_time,num_measured,num_morts,num_marked,num_released,num_recap,cone,gates,mean_turbidity,run_designation,excluded,comments
{97E1B4AB-BE32-475A-BA19C19B7408D5B3},001_16,4,B,2016-02-03,11:44:00.000000,Pizza,2016-02-03,17:30:00.000000,50,0,1310,1306,53,1,OUT,10.36,Fall,N,4 fish not released due to post mark mortality
{2DBF558A-B678-4409-840D2C8C5DB1DC1F},001_18,3,B,2018-10-09,10:00:00.000000,Pizza,2018-10-09,19:20:00.000000,240,5,1182,1177,45,1,OUT,2.48,Winter,N,Trap 6 excluded from trial; therefore model shows 45 recaps; TE = 3.82 %Q = 2.972
{6CDADB9E-3620-4C56-92960C77FAFB2469},001_19,4,B,2019-08-27,11:20:00.000000,Pizza,2019-08-27,20:04:00.000000,80,7,896,889,45,1,OUT,2.96,Winter,N,Fish held overnight from SID 238 for mark. Fish from SIDs 238 & 239 used for mark. Trap 6 excluded from trial.
{FB0DD726-1701-41A8-8304C9F32CB600A2},001_20,4,B,2020-01-09,12:20:00.000000,Pizza,2020-01-09,17:12:00.000000,100,3,1172,1168,62,1,OUT,2.55,Fall,N,"1172 marked fish, 3 morts and 1 weak excluded"
{38F17844-4C6A-4DE1-9B02EA847834CFB4},002_16,4,B,2016-02-08,16:13:00.000000,Pizza,2016-02-09,17:35:00.000000,94,2,1465,1442,66,1,OUT,4.5999999,Fall,N,2 morts during the marking process; 20 morts and 3 weak excluded from release group
{A28DB4C3-93B9-4466-8070E99DDCA90EA5},002_18,3,B,2018-10-11,12:49:00.000000,Pizza,2018-10-11,18:33:00.000000,150,10,1259,1247,48,1,OUT,2.53,Winter,N,Trap 6 excluded from trial; Therefore 48 recaps; TE = 3.85 & %Q = 2.6353
{E686DF25-8D0D-40A6-B5CCE755970892DD},002_19,4,B,2019-09-03,11:00:00.000000,Pizza,2019-09-03,19:40:00.000000,93,4,966,962,42,1,OUT,2.8299999,Winter,N,"Fish held overnight, then marked the following day and released the evening of mark. Trap 6 excluded from trial"
{67548B68-4D80-46CA-976C241184A4F812},002_20,4,B,2020-01-23,14:50:00.000000,Pizza,2020-01-23,17:16:00.000000,143,3,1753,1745,28,0.5,OUT,4.0900002,Fall,N,Fish marked in higher turbidity than usual. Sample taken and read 10.8 NTUs
{74446808-878D-4EF9-A14AA08ABCA5135A},003_16,4,B,2016-02-12,12:15:00.000000,Pizza,2016-02-13,17:45:00.000000,129,0,1178,1155,73,1,OUT,3.8,Fall,N,23 fish not released; 16 morts and 7 weak
{597D399F-F484-4948-900504322E7CE202},003_18,3,B,2018-10-17,13:05:00.000000,Pizza,2018-10-17,18:36:00.000000,130,9,1157,1147,29,NA,OUT,2.54,Winter,N,Used combination of fish held in TCs and fish processed that morning.Trap 6 excluded from trial. Therefore 30 recaps; TE = 2.616 & %Q = 2.8441
