sample_row_id,sample_id,start_date,start_time,station_code,counter,gear_condition,trap_sample_type,habitat,debris_tubs,cone,fish_properly,flow_cfs,weather_code,temperature,turbidity,velocity,river_depth,gear,diel,sampling_weight,location_in_river,volume
1826,225_07,2007-08-12,10:53:00.000000,Gate 1,7097,n,non-intensive,Gates In,3.3,1,Y,12055,CLR,NA,0.86000001,2.486153100775194,NA,RSTR8,,1.04375,MC,5380830.879069767
19806,206_96,1996-07-24,02:45:00.000000,Gate 9,NA,N,NA,NA,NA,1,Y,13680,CLR,NA,NA,1.4,NA,RSTR8,N3,0.989,MC,367819.2
14090,72_11,2011-03-12,11:59:00.000000,Gate 6,8223,n,non-intensive,run,2,1,Y,8303,CLD,50.700001,4.7800002,3.338125,5,RSTR8,,0.8131944444444444,MC,5769601.8975
17830,301_05,2005-10-27,09:04:00.000000,Gate 8,6607,n,non-intensive,run,2.5999999,1,Y,7738,CLD,56.299999,1.5599999,2.820708333333333,8,RSTR8,,0.997,WM,5978592.858
15069,272_95,1995-09-29,17:18:00.000000,Gate 7,NA,N,NA,NA,NA,1,Y,9716,CLR,NA,NA,3.6,NA,RSTR8,,0.169,MC,79704
13792,31_10,2010-01-30,09:19:00.000000,Gate 6,NA,n,non-intensive,run,3.5999999,0.5,Y,10659,CLD,49.400002,20.4,4.2406875,7.5,RSTR8,,1.011111111111111,MC,9632127.959999999
15575,40_06,2006-02-08,12:54:00.000000,Gate 7,10404,n,non-intensive,run,3.0999999,1,Y,29254,CLR,48.700001,8.5100002,4.789490740740741,7,RSTR8,,0.858,MC,9234904.466666667
3183,211.2_95,1995-07-29,10:43:00.000000,Gate 11,NA,N,NA,NA,NA,1,Y,NA,CLR,13.9,3.5,3.1,NA,RSTR8,,1,WM,NA
7274,242_95,1995-08-29,14:57:00.000000,Gate 3,NA,N,non-intensive,NA,NA,1,Y,13344,CLR,14,3.2,1.9,NA,RSTR8,,1,MC,3211038
14020,7_11,2011-01-06,12:15:00.000000,Gate 6,1521,n,intensive (Storm/Mort),run,1,1,Y,16317,CLR,48.700001,3.1800001,4.090153846153846,NA,RSTR8,D3,0.25,MC,1005834.273230769
12318,336_99,1999-12-01,09:35:00.000000,Gate 6,920,N,NA,NA,NA,1,Y,9920,CLD,10.4,7.9000001,3.2,12,RSTR8,D,0.26,MC,694310.4000000001
9255,163_10,2010-06-11,14:06:00.000000,Gate 3,7345,n,non-intensive,run,3.4000001,1,Y,12143,CLR,57.400002,2.02,3.041438730853391,NA,RSTR8,,0.7826388888888889,EM,5059287.339715536
2843,254_07,2007-09-10,10:35:00.000000,Gate 10,5305,n,non-intensive,Gates In,1.3,1,Y,8932,CLR,57.799999,0.83999997,2.155125,NA,RSTR8,,0.9222222222222223,MC,4121288.64
17192,43_97,1997-02-11,10:00:00.000000,Gate 8,NA,N,non-intensive,NA,NA,1,Y,17872,CLR,8.8999996,32,3.4,NA,RSTR8,,1,MC,7201404
8097,160_05,2005-06-08,08:12:00.000000,Gate 3,4400,n,non-intensive,run,0.60000002,1,Y,13028,CLD,54.200001,1.79,1.996325757575758,8.5,RSTR8,,1.015,MC,4427447.2725
11815,55_05,2005-02-23,08:49:00.000000,Gate 5,7136,n,non-intensive,run,1.8,1,Y,7899,CLD,52.099998,5.4899998,2.485091145833333,4.5,RSTR8,,1.003,MC,5300252.09765625
20376,210_04,2004-07-27,09:31:00.000000,Gate 9,3802,pb,non-intensive,run,1.4,1,Y,14470,CLR,57.5,2,3.05537037037037,NA,RSTR8,,0.985,WM,6581396.103333334
13162,316_06,2006-11-11,10:55:00.000000,Gate 6,6693,n,non-intensive,run,6.5,1,Y,6750,CLD,53.200001,2.48,2.79909793814433,NA,RSTR8,,0.9395833333333333,MC,5453538.494845361
11466,59_00,2000-02-28,00:26:00.000000,Gate 5,1865,N,NA,NA,NA,1,Y,56841,CLR,9.8000002,35,5.6,12,RSTR8,N,0.25,,1680268.8
13195,351_06,2006-12-16,11:23:00.000000,Gate 6,6824,n,non-intensive,run,11.4,1,Y,8817,CLR,47.299999,3.52,3.095416666666666,8,RSTR8,,0.975,MC,6414644.339999999
7923,248_03,2003-09-04,09:21:00.000000,Gate 3,2053,n,non-intensive,run,0.1,1,Y,7966,CLR,58.900002,1.7,1.354230769230769,6,RSTR8,,0.971,MC,2646714.032307692
8870,347_08,2008-12-11,08:10:00.000000,Gate 3,3297,n,non-intensive,run,1.4,1,Y,4592,CLR,50.509998,1.65,1.921166666666666,10.2,RSTR8,,1.007638888888889,EM,4114516.542
14254,158_11,2011-06-06,11:13:00.000000,Gate 6,12387,n,non-intensive,run,9.1000004,1,Y,24254,CLR,54.299999,9.1199999,4.258945221445221,NA,RSTR8,,0.9118055555555555,MC,8723512.318181816
10920,260_07,2007-09-16,16:08:00.000000,Gate 4,8280,n,non-intensive,run,10,1,Y,8558,CLR,58.599998,1.2,2.829673913043478,NA,RSTR8,,0.7236111111111111,EM,4475853.69
15596,83.0_06,2006-03-23,09:03:00.000000,Gate 7,12571,n,non-intensive,flood,3,1,Y,NA,RAN,48.799999,6.1399999,NA,8,RSTR8,,0.984,MC,NA
9455,125_11,2011-05-04,08:59:00.000000,Gate 3,9153,n,non-intensive,run,4.5,1,Y,10148,CLR,58.599998,5.8400002,3.091041666666666,4.5,RSTR8,,1.102083333333333,EM,7063895.7
1734,201_06,2006-07-19,08:50:00.000000,Gate 1,8148,n,non-intensive,Gates In,6.1999998,1,Y,13826,CLR,55.799999,3.8399999,3.569015625,NA,RSTR8,,1.029166666666667,EM,8251278.60375
4016,309_98,1998-11-04,17:05:00.000000,Gate 11,2795,N,NA,NA,NA,1,Y,7541,CLR,12,2,2.6,15,RSTR8,N,1,WM,2944188
9240,146_10,2010-05-25,08:19:00.000000,Gate 3,9680,pb,non-intensive,run,5.3000002,1,Y,11629,CLD,55,3.6300001,3.089695945945946,NA,RSTR8,,1.03125,EM,6772180.956081081
16057,36_10,2010-02-04,09:48:00.000000,Gate 7,NA,n,sunrise-sunset,run,0.2,0.5,Y,12096,RAN,49.599998,8.7200003,3.245555555555556,6,RSTR8,D,1,MC,2149856
11297,274_99,1999-09-30,07:07:00.000000,Gate 5,1441,N,NA,NA,NA,1,Y,7245,CLD,13.3,3.0999999,1.7,9,RSTR8,D,1,MC,1658866.8
15574,32_06,2006-01-31,11:11:00.000000,Gate 7,10714,pb,non-intensive,flood,4.4000001,0.5,Y,25533,CLD,47.299999,14.8,4.894166666666666,7,RSTR8,,0.982,MC,11044881.26
8307,243_06,2006-08-30,15:32:00.000000,Gate 3,4109,n,non-intensive,Gates In,0.5,1,Y,10631,CLR,56.299999,2.8299999,2.911458333333333,4.5,RSTR8,,0.7145833333333333,MC,4547761.96875
7324,262_95,1995-09-18,22:26:00.000000,Gate 3,NA,N,non-intensive,NA,NA,1,Y,11126,CLR,NA,NA,2,NA,RSTR8,,0.109,MC,44280
11611,340_02,2002-12-05,07:28:00.000000,Gate 5,2070,n,sunrise-sunset,run,1.5,1,Y,6692,CLR,NA,0.80000001,2.075694444444444,NA,RSTR8,D,0.9823321554770318,MC,1661884
7133,3_95,1995-01-02,08:36:00.000000,Gate 3,NA,N,non-intensive,NA,NA,1,Y,5248,CLD,9.1999998,1.1,NA,NA,RSTR8,,1,,NA
17894,314_06,2006-11-09,10:02:00.000000,Gate 8,3013,n,non-intensive,run,0.40000001,1,Y,6750,CLR,NA,2.3399999,1.689916666666667,NA,RSTR8,,0.9756944444444444,WM,3504515.385
4816,212_05,2005-07-30,08:45:00.000000,Gate 11,8106,pb,non-intensive,run,5.4000001,1,Y,12564,CLR,58.400002,1.8200001,3.261955128205128,NA,RSTR8,,1.033,WM,7368052.052307691
276,106_95,1995-04-15,08:57:00.000000,Gate 1,NA,N,non-intensive,NA,NA,1,Y,29650,CLD,9.8000002,14,2.1,NA,RSTR8,,1,EM,954676.8
16147,136_10,2010-05-15,09:19:00.000000,Gate 7,11971,n,non-intensive,run,3.3,1,Y,10333,CLR,59.400002,2.53,3.6155,5.0999999,RSTR8,,1.102777777777778,MC,8474327.064
984,64_97,1997-03-04,10:01:00.000000,Gate 1,NA,N,non-intensive,NA,NA,1,Y,7795,CLR,8.8999996,16,1.9,NA,RSTR8,,1,EM,3665556
8647,9_08,2008-01-08,08:24:00.000000,Gate 3,5721,pb,non-intensive,run,8.1999998,0.5,Y,15498,CLD,44.900002,101.4,2.86475,NA,RSTR8,,1.165277777777778,EM,7845106.416
18602,29_10,2010-01-28,09:34:00.000000,Gate 8,7412,n,non-intensive,run,0.80000001,0.5,Y,9780,CLD,48.599998,NA,2.807291666666667,5.5999999,RSTR8,,1.029861111111111,WM,5995027.5
20385,219_04,2004-08-05,08:46:00.000000,Gate 9,6949,n,non-intensive,run,0.5,1,Y,12844,CLR,57.700001,1.8,2.814291666666667,NA,RSTR8,,1.024,MC,5977555.500000001
867,164_96,1996-06-11,17:31:00.000000,Gate 1,NA,N,NA,NA,NA,1,Y,13953,W,NA,4.0999999,2.8,NA,RSTR8,C2,0.989,EM,735638.3999999999
19963,76_98,1998-03-17,06:37:00.000000,Gate 9,3173,N,NA,flood,NA,1,Y,14437,CLR,NA,27,2.9,5,RSTR8,D,1,MC,2898144
19809,208_96,1996-07-25,08:47:00.000000,Gate 9,NA,N,non-intensive,NA,NA,1,Y,13243,CLR,13.8,1.9,1.2,NA,RSTR8,,1,MC,2566468.8
776,139_95,1995-05-18,09:29:00.000000,Gate 10,NA,N,non-intensive,NA,NA,1,Y,10944,CLR,14.4,4.5,1.9,NA,RSTR8,,1,,743166
17513,19_04,2004-01-18,09:38:00.000000,Gate 8,7247,n,non-intensive,run,0.30000001,0.5,Y,9468,FOG,49.099998,2.5,3.438516666666667,5.5,RSTR8,,1.018,WM,7258846.224
7792,84_03,2003-03-24,09:28:00.000000,Gate 3,8505,pb,non-intensive,run,4.6999998,1,Y,8488,CLD,54.5,4,NA,5.5,RSTR8,,0.9840277777777777,,NA
