catch_id,sample_row_id,station_code,start_date,start_time,common_name,fork_length,dead,lifestage,mark_code,weight,count,run,count_reference
947717,33466,Gate 5,12/1/2022,3:56,Pacific Lamprey,114,No,not provided,n/a,0,1,n/p,0
947718,33466,Gate 5,12/1/2022,3:56,Chinook Salmon,34,No,not provided,n/a,0,1,S,0
947719,33466,Gate 5,12/1/2022,3:56,Chinook Salmon,35,No,not provided,n/a,0,2,S,0
947720,33466,Gate 5,12/1/2022,3:56,Chinook Salmon,37,No,not provided,n/a,0,1,S,0
947721,33467,Gate 6,12/1/2022,3:42,Chinook Salmon,35,No,not provided,n/a,0,1,S,0
947722,33467,Gate 6,12/1/2022,3:42,Chinook Salmon,36,No,not provided,n/a,0,5,S,0
947723,33467,Gate 6,12/1/2022,3:42,Chinook Salmon,37,No,not provided,n/a,0,3,S,0
947724,33467,Gate 6,12/1/2022,3:42,Chinook Salmon,38,No,not provided,n/a,0,1,S,0
947725,33467,Gate 6,12/1/2022,3:42,Chinook Salmon,61,No,not provided,n/a,0,1,W,0
947726,33467,Gate 6,12/1/2022,3:42,Chinook Salmon,74,No,not provided,n/a,0,1,W,0
947727,33467,Gate 6,12/1/2022,3:42,Chinook Salmon,83,No,not provided,n/a,0,2,W,0
947728,33468,Gate 7,12/1/2022,3:31,Chinook Salmon,34,No,not provided,n/a,0,1,S,0
947729,33468,Gate 7,12/1/2022,3:31,Chinook Salmon,35,No,not provided,n/a,0,2,S,0
947730,33468,Gate 7,12/1/2022,3:31,Chinook Salmon,36,No,not provided,n/a,0,1,S,0
947731,33468,Gate 7,12/1/2022,3:31,Chinook Salmon,39,No,not provided,n/a,0,2,S,0
947732,33468,Gate 7,12/1/2022,3:31,Chinook Salmon,64,No,not provided,n/a,0,1,W,0
947733,33468,Gate 7,12/1/2022,3:31,Chinook Salmon,78,No,not provided,n/a,0,1,W,0
947734,33469,Gate 8,12/1/2022,3:28,Chinook Salmon,34,No,not provided,n/a,0,1,S,0
947735,33469,Gate 8,12/1/2022,3:28,Chinook Salmon,35,No,not provided,n/a,0,1,S,0
947736,33469,Gate 8,12/1/2022,3:28,Chinook Salmon,36,No,not provided,n/a,0,1,S,0
947737,33469,Gate 8,12/1/2022,3:28,Chinook Salmon,37,No,not provided,n/a,0,2,S,0
947738,33474,Gate 5,12/2/2022,0:14,Sacramento Sucker,60,No,not provided,n/a,0,1,n/p,0
947739,33474,Gate 5,12/2/2022,0:14,Chinook Salmon,35,No,not provided,n/a,0,2,S,0
947740,33475,Gate 6,12/2/2022,0:08,Chinook Salmon,165,No,not provided,Adclipped,0,1,L,0
947741,33475,Gate 6,12/2/2022,0:08,Chinook Salmon,34,No,not provided,n/a,0,3,S,0
947742,33475,Gate 6,12/2/2022,0:08,Chinook Salmon,35,No,not provided,n/a,0,3,S,0
947743,33475,Gate 6,12/2/2022,0:08,Chinook Salmon,36,No,not provided,n/a,0,1,S,0
947744,33475,Gate 6,12/2/2022,0:08,Chinook Salmon,63,No,not provided,n/a,0,1,W,0
947745,33475,Gate 6,12/2/2022,0:08,Chinook Salmon,72,No,not provided,n/a,0,1,W,0
947746,33475,Gate 6,12/2/2022,0:08,Chinook Salmon,74,No,not provided,n/a,0,2,W,0
947747,33475,Gate 6,12/2/2022,0:08,Chinook Salmon,76,No,not provided,n/a,0,1,W,0
947748,33475,Gate 6,12/2/2022,0:08,Chinook Salmon,79,No,not provided,n/a,0,1,W,0
947749,33475,Gate 6,12/2/2022,0:08,Chinook Salmon,96,No,not provided,n/a,0,1,L,0
947750,33476,Gate 7,12/2/2022,0:18,Sacramento Sucker,34,No,not provided,n/a,0,1,n/p,0
947751,33476,Gate 7,12/2/2022,0:18,Rainbow Trout,82,No,RBT - parr,n/a,0,1,n/p,0
947752,33476,Gate 7,12/2/2022,0:18,Chinook Salmon,34,No,not provided,n/a,0,1,S,0
947753,33476,Gate 7,12/2/2022,0:18,Chinook Salmon,36,No,not provided,n/a,0,1,S,0
947754,33476,Gate 7,12/2/2022,0:18,Chinook Salmon,37,No,not provided,n/a,0,1,S,0
947755,33476,Gate 7,12/2/2022,0:18,Chinook Salmon,39,No,not provided,n/a,0,1,S,0
947756,33477,Gate 8,12/2/2022,0:23,Sacramento Sucker,61,No,not provided,n/a,0,1,n/p,0
947757,33477,Gate 8,12/2/2022,0:23,Chinook Salmon,34,No,not provided,n/a,0,1,S,0
947758,33477,Gate 8,12/2/2022,0:23,Chinook Salmon,35,No,not provided,n/a,0,1,S,0
947759,33477,Gate 8,12/2/2022,0:23,Chinook Salmon,36,No,not provided,n/a,0,1,S,0
